"Treatment" "X1" "X2" "X3" "X4" "X5" "X6" "X7" "X8" "X9" "X10" "X11" "X12" "X13" "X14" "X15" "X16" "X17" "X18" "X19" "X20" "X21" "X22" "X23" "X24" "X25"
"29" "A" 6 6 6 3 5 0 4 7 7 8 0 3 7 8 4 10 0 2 4 0 4 6 3 5 3
"30" "A" 1 5 3 4 5 0 2 3 9 8 1 3 7 1 3 2 0 4 4 0 0 10 5 5 3
"31" "A" 5 1 3 8 2 0 4 2 15 5 1 8 5 7 5 3 0 1 1 0 6 16 5 5 3
"32" "A" 8 4 4 6 2 0 1 0 14 8 1 1 5 5 7 6 0 0 3 0 2 14 2 4 4
"33" "A" 2 5 3 1 7 0 3 1 10 8 1 3 7 2 10 1 0 4 0 0 5 11 2 5 4
"34" "A" 11 6 4 7 1 0 0 3 10 5 1 3 8 4 6 5 2 2 3 0 3 10 2 8 3
"35" "A" 5 1 8 4 9 0 1 3 13 4 2 2 7 3 7 2 1 1 1 0 6 8 4 4 4
"36" "A" 6 4 3 7 10 0 3 6 9 6 2 2 3 3 5 6 0 4 3 0 2 11 5 5 3
"37" "A" 6 2 8 5 3 0 1 1 10 7 0 4 7 3 2 4 0 3 0 0 2 12 3 6 6
"38" "A" 9 2 8 3 6 0 1 2 11 8 0 6 9 2 2 5 2 4 3 0 4 8 2 6 9
"39" "A" 3 5 7 8 7 0 3 2 7 6 4 5 10 4 0 2 0 3 4 0 3 5 6 5 8
"40" "A" 4 6 8 3 3 0 2 4 6 6 1 3 2 1 3 6 2 3 2 0 5 9 6 6 2
"41" "A" 6 5 4 5 4 0 2 2 10 3 1 2 3 3 4 2 2 3 1 0 2 5 1 7 5
"42" "A" 3 5 3 6 5 0 3 9 12 5 1 5 4 3 7 7 1 6 2 0 1 8 2 6 5
"43" "A" 5 3 6 4 4 0 1 3 6 4 1 4 5 4 3 3 0 3 4 0 1 7 1 5 11
"44" "A" 4 6 6 5 4 0 5 6 13 2 2 3 7 2 6 7 4 3 1 0 2 9 4 6 6
"45" "A" 8 9 4 5 6 0 3 2 12 3 1 4 3 6 6 4 1 6 2 0 1 10 2 4 6
"46" "A" 5 4 6 3 6 0 3 4 11 3 0 4 5 4 6 8 2 1 5 0 0 11 9 8 6
"47" "A" 9 4 4 6 3 0 2 3 10 8 2 5 3 2 4 2 0 1 3 0 0 12 4 8 4
"48" "A" 16 7 3 7 5 0 3 1 8 5 1 4 2 5 3 2 0 2 4 0 3 7 1 3 4
"49" "A" 4 4 5 4 7 0 1 0 11 6 1 4 3 1 5 7 2 1 4 0 2 7 4 6 5
"50" "A" 8 3 6 7 9 0 4 3 10 7 2 2 2 7 3 2 3 1 2 0 1 8 1 4 8
"51" "B" 1 1 0 7 9 2 6 2 6 2 2 0 3 3 6 4 7 5 0 4 5 4 3 0 9
"52" "B" 0 4 0 5 3 1 4 3 4 1 0 2 5 8 12 1 2 3 0 3 6 6 0 0 13
"53" "B" 1 5 0 4 6 3 2 2 5 3 0 2 5 3 8 3 3 7 0 3 5 5 1 0 10
"54" "B" 2 5 0 6 7 3 3 1 3 2 1 3 9 2 11 3 6 4 0 5 6 3 2 4 8
"55" "B" 2 5 0 0 3 3 1 3 7 3 2 1 3 4 10 0 6 6 0 3 7 1 4 1 18
"56" "B" 0 3 0 7 6 1 4 2 5 3 1 2 1 6 8 6 4 3 0 2 5 3 1 3 5
"57" "B" 2 4 0 2 4 4 1 2 4 2 0 2 6 9 10 5 4 5 0 2 6 7 4 1 9
"58" "B" 0 2 0 5 4 4 1 3 2 0 4 0 5 9 8 1 1 4 0 5 4 2 2 3 9
"59" "B" 0 5 0 3 6 3 3 1 8 0 2 0 3 2 6 3 5 1 0 1 6 4 2 3 12
"60" "B" 1 1 0 3 5 5 1 2 3 1 0 2 7 0 5 5 4 2 0 4 3 8 0 1 10
"61" "B" 1 3 0 3 6 2 2 0 7 4 1 1 2 4 2 6 8 3 0 3 4 4 1 0 5
"62" "B" 0 6 0 4 5 6 3 0 6 3 1 0 5 3 9 6 1 5 0 1 7 3 1 3 5
"63" "B" 1 5 0 4 6 5 1 5 6 2 0 4 4 4 5 6 5 3 0 0 3 7 2 4 8
"64" "B" 1 0 0 3 6 3 5 3 4 3 0 1 2 9 4 4 9 1 0 4 8 4 1 1 8
"65" "B" 0 3 0 2 8 3 3 2 3 2 4 2 5 4 7 2 2 2 0 2 8 3 0 1 4
"66" "B" 3 5 0 3 9 6 3 6 4 1 0 1 3 7 9 4 3 5 0 5 5 7 1 2 9
"67" "B" 1 3 0 5 6 3 7 1 5 0 1 1 1 5 8 4 4 8 0 0 6 4 1 1 10
"68" "B" 0 3 0 2 9 5 5 3 5 3 0 2 5 5 6 4 4 4 0 3 5 5 1 2 7
"69" "B" 0 8 0 4 11 6 3 2 6 2 1 2 3 5 8 3 3 2 0 4 4 4 5 2 6
"70" "B" 0 4 0 3 4 4 0 4 6 1 1 0 5 3 5 4 1 3 0 1 5 5 1 1 6
"71" "B" 0 5 0 5 8 5 3 0 7 1 0 0 4 3 8 3 7 2 0 1 1 5 2 2 13
"72" "B" 0 9 0 4 3 7 2 2 3 0 0 1 5 5 6 7 8 4 0 0 6 6 2 3 9
"73" "B" 2 4 0 4 10 4 3 1 3 4 0 1 4 3 8 3 5 5 0 3 6 6 2 0 5
"74" "B" 2 8 0 6 6 3 5 1 5 1 1 1 5 5 10 2 4 3 0 0 4 8 1 3 9
"75" "B" 1 5 0 3 8 4 2 3 1 1 2 2 7 9 9 5 5 3 0 1 4 4 1 5 3
"76" "B" 1 5 0 4 11 3 7 4 5 3 1 1 3 1 7 4 6 4 0 5 6 3 4 1 2
"77" "B" 0 7 0 3 3 3 3 2 3 3 1 1 6 3 7 4 3 2 0 2 4 8 1 1 5
"78" "B" 3 4 0 5 8 5 4 1 5 4 2 1 1 7 8 4 4 5 0 1 3 3 2 2 3
"79" "B" 0 8 0 3 11 2 3 2 7 1 1 0 6 7 12 7 5 1 0 0 3 11 3 2 13
"80" "B" 0 2 0 4 4 6 2 0 4 1 4 2 4 7 6 2 1 5 0 4 4 5 2 1 5
"81" "B" 2 3 0 5 4 5 3 2 9 1 2 2 3 7 6 6 7 4 0 1 6 4 2 0 15
"82" "B" 0 7 0 8 8 8 2 2 2 0 1 2 4 7 9 2 2 5 0 2 6 2 1 2 8
"83" "B" 0 4 0 0 4 4 7 0 7 5 0 0 11 2 9 3 4 2 0 3 4 8 2 3 10
"84" "B" 4 3 0 6 10 8 3 1 9 2 1 3 6 4 7 0 0 4 0 3 5 3 6 0 6
"85" "B" 0 3 0 5 9 2 1 0 3 2 0 0 2 3 6 3 1 2 0 1 4 3 1 4 8
"86" "B" 2 3 0 6 7 1 6 2 5 1 3 1 6 4 9 5 6 4 0 4 8 6 1 3 4
"87" "B" 0 1 0 4 4 3 1 1 5 3 1 4 7 3 5 5 4 4 0 0 4 3 0 2 7
"88" "B" 0 4 0 2 5 3 6 4 5 0 0 1 3 5 7 7 4 2 0 3 1 7 2 3 12
"89" "B" 2 4 0 1 3 4 3 2 6 2 3 1 8 5 4 3 2 3 0 0 4 2 1 2 5
"90" "B" 1 2 0 4 9 7 5 1 11 1 2 1 4 5 14 5 6 1 0 2 3 4 2 1 7
"91" "B" 1 2 0 5 4 5 1 1 6 0 0 0 3 8 13 3 5 0 0 1 3 6 4 2 9
"92" "B" 2 2 0 3 5 7 1 2 3 4 2 1 7 3 4 3 5 3 0 2 4 3 1 3 6
"93" "B" 4 7 0 1 11 6 1 4 9 2 1 0 4 7 7 6 4 4 0 0 5 9 2 4 10
"94" "B" 1 5 0 3 12 6 5 2 4 0 2 0 7 3 6 3 5 2 0 3 3 3 3 2 5
"95" "B" 0 3 0 5 5 5 2 2 6 2 1 1 7 6 7 2 2 3 0 2 4 6 2 2 7
"96" "B" 2 3 0 2 13 5 3 2 7 0 1 1 6 5 6 1 6 0 0 1 8 2 2 1 9
"97" "B" 1 5 0 9 4 2 5 3 4 1 2 2 6 5 10 1 2 2 0 5 5 6 4 2 11
"98" "B" 3 0 0 4 4 4 3 3 5 0 0 2 5 5 4 5 3 2 0 0 6 6 2 5 3
"99" "B" 2 2 0 3 4 3 6 1 7 3 0 2 3 8 8 7 4 2 0 3 2 3 1 4 10
"100" "B" 0 4 0 5 6 1 4 3 6 1 2 2 3 1 15 1 3 4 0 3 3 6 2 1 7
"101" "C" 1 6 1 4 3 0 1 1 3 6 0 3 11 5 2 8 4 6 4 3 0 9 2 1 8
"102" "C" 2 4 2 1 5 0 2 4 2 2 1 3 6 6 4 10 0 7 1 6 0 4 1 6 5
"103" "C" 1 5 1 3 2 0 1 4 4 6 1 1 6 8 2 7 2 3 5 2 0 8 4 2 6
"104" "C" 4 2 1 1 3 0 4 1 4 3 1 2 5 1 1 4 1 4 5 5 0 5 1 4 2
"105" "C" 2 3 1 4 2 0 2 3 3 3 2 2 4 4 1 4 4 6 2 3 0 3 4 6 1
"106" "C" 4 3 0 3 2 0 4 1 3 3 0 5 7 4 2 9 4 3 5 3 0 8 1 1 5
"107" "C" 0 7 2 3 3 0 1 3 3 4 1 4 4 4 0 6 4 6 6 2 0 2 1 3 3
"108" "C" 3 5 3 2 3 0 4 4 5 5 1 1 9 0 4 8 2 8 4 2 0 5 0 2 1
"109" "C" 1 2 2 2 2 0 2 2 2 2 0 4 3 1 4 7 1 9 9 4 0 11 1 7 4
"110" "C" 1 4 2 1 0 0 3 2 1 5 1 0 9 5 2 6 2 9 6 2 0 7 0 2 6
"111" "C" 0 4 1 1 1 0 4 4 1 4 1 3 4 5 3 8 3 4 3 3 0 6 1 6 8
"112" "C" 1 2 5 3 2 0 2 4 1 4 1 7 4 8 2 6 4 4 10 5 0 8 2 4 3
"113" "C" 2 5 4 1 5 0 2 4 4 4 1 1 9 8 1 10 4 4 3 3 0 7 2 3 4
"114" "C" 4 7 3 5 5 0 4 2 2 8 1 2 6 4 3 4 6 4 4 8 0 6 3 0 2
"115" "C" 1 2 0 5 7 0 6 5 9 5 0 2 4 11 1 4 0 6 6 3 0 7 0 4 4
"116" "C" 2 7 0 1 3 0 4 3 2 3 3 4 6 4 2 11 0 5 5 5 0 6 1 2 3
"117" "C" 2 4 2 2 3 0 2 8 3 2 1 7 7 4 2 8 2 4 5 3 0 11 2 4 4
"118" "C" 0 2 0 2 5 0 1 3 3 4 0 4 5 4 2 10 2 4 5 2 0 7 3 2 4
"119" "C" 3 3 3 0 2 0 4 4 4 3 3 1 3 3 2 5 4 11 6 2 0 4 4 2 4
"120" "C" 0 5 2 1 5 0 3 2 3 3 1 8 8 3 3 10 1 5 7 3 0 5 3 1 2
"121" "C" 2 4 2 2 0 0 1 2 5 4 0 1 9 3 1 12 0 4 9 1 0 5 2 5 6
"122" "C" 2 8 1 2 4 0 3 1 3 6 0 4 6 5 1 5 1 3 4 3 0 8 1 4 2
"123" "C" 5 5 3 2 4 0 1 5 4 5 3 3 3 3 2 3 4 6 4 3 0 2 0 2 5
"124" "C" 3 4 0 0 2 0 4 4 5 2 0 1 7 9 1 4 2 7 4 2 0 5 0 0 4
"125" "C" 1 4 2 2 6 0 4 7 6 6 0 4 7 2 4 7 0 4 3 3 0 8 0 3 1
"126" "C" 1 8 3 1 5 0 4 4 2 3 1 2 2 2 3 4 7 10 4 1 0 2 1 3 0
"127" "C" 1 6 2 1 5 0 0 0 3 4 1 1 8 5 1 4 0 6 7 1 0 6 0 2 7
"128" "C" 2 5 3 2 3 0 2 4 4 7 0 3 2 4 3 9 2 15 1 1 0 1 2 3 3
"129" "C" 2 3 1 1 2 0 3 1 5 3 0 4 5 4 1 6 1 5 5 2 0 5 1 1 3
"130" "C" 0 9 2 0 2 0 2 2 5 3 3 1 8 5 1 10 2 6 5 1 0 7 4 5 5
"131" "C" 6 2 0 5 1 0 4 3 3 2 0 2 4 12 2 9 3 5 4 3 0 8 3 3 3
"132" "C" 2 3 0 1 3 0 5 2 4 5 2 3 5 8 2 7 4 7 3 3 0 2 2 4 2
"133" "C" 3 1 4 2 3 0 2 4 4 6 1 1 5 4 1 5 2 6 8 3 0 7 4 1 4
"134" "C" 3 7 4 3 0 0 2 5 4 5 3 2 9 7 0 7 2 7 4 4 0 2 1 2 0
"135" "C" 0 8 1 0 1 0 3 3 3 6 0 4 6 4 0 8 2 4 3 5 0 6 3 2 8
"136" "C" 1 3 3 0 0 0 0 5 4 3 0 6 6 5 2 9 1 4 8 5 0 7 2 0 4
"137" "C" 3 5 1 1 2 0 6 2 2 1 0 3 4 5 2 7 2 8 12 2 0 3 2 2 0
"138" "C" 1 7 2 2 0 0 6 1 1 2 1 4 4 4 3 8 3 5 5 2 0 3 3 2 6
"139" "C" 2 6 3 2 0 0 1 2 0 4 0 0 3 9 2 5 2 9 5 3 0 5 0 2 4
"140" "C" 1 12 1 0 3 0 0 3 5 7 1 3 11 3 2 2 4 5 8 4 0 5 1 2 1
"141" "C" 2 3 0 4 6 0 0 5 1 8 0 0 5 4 3 6 2 6 2 4 0 1 2 3 8
"142" "C" 1 1 2 1 4 0 2 2 1 8 2 1 2 7 3 10 3 7 5 3 0 8 0 5 6
"143" "C" 3 5 2 2 2 0 2 5 7 1 2 3 5 6 2 4 1 3 6 5 0 6 1 3 4
"144" "C" 1 3 3 0 4 0 3 2 1 7 2 3 11 6 0 10 4 6 4 4 0 3 1 2 0
"145" "C" 0 8 3 3 2 0 5 5 4 5 0 4 6 5 2 12 3 7 5 3 0 3 1 2 7
"146" "C" 3 3 0 1 0 0 5 7 3 1 1 4 7 8 6 6 2 4 2 3 0 5 2 6 4
"147" "C" 4 6 1 1 2 0 7 3 4 7 1 3 5 2 2 14 6 2 5 6 0 3 3 3 5
"148" "C" 2 2 0 3 2 0 1 4 3 4 0 2 3 2 0 3 3 7 4 4 0 5 3 2 2
"149" "C" 1 6 1 5 2 0 1 7 4 1 3 2 5 5 0 12 4 8 5 1 0 5 0 3 3
"150" "C" 1 3 1 1 2 0 2 5 2 5 0 3 3 2 2 10 5 5 5 2 0 6 2 1 4
